Country,Year,gdp_growth_mean5,gdp_growth_std5,gdp_growth_trend5,inflation_mean5,inflation_std5,inflation_trend5,domestic_credit_mean5,domestic_credit_std5,domestic_credit_trend5,current_account_mean5,current_account_std5,current_account_trend5,total_reserves_mean5,total_reserves_std5,total_reserves_trend5,target_crisis_next_3y
Tunisia,1996,0.23814288340742400,-0.048076603989955600,-0.062478255485469300,-0.08563707428555700,-0.08314709662800610,-0.061595968594957400,-0.4494091983062690,-0.44622618897852300,-0.31301067807860300,-0.3917799561543380,-0.03197285831800570,0.5927505091367800,-0.21274201584601,-0.18775979053778900,-0.10688137873770000,0
Tunisia,1997,0.06833065592558710,-0.29138533559017200,0.7917723218149640,-0.08563707428388660,-0.08314709662823360,-0.06159596859521660,-0.45887921449490100,-0.41706535112724600,-0.37317397937119400,-0.29177126355389800,-0.18122573522130700,0.25100551441611200,-0.21142284941045100,-0.1885134672112810,-0.1079100448631980,0
Tunisia,1998,0.25459772688822000,-0.40673903477471100,0.48541206352576400,-0.08563707428222670,-0.08314709663038120,-0.061595968597530100,-0.4668658243283190,-0.4278240753943570,-0.3457240145010210,-0.21115321052933600,-0.39464237977951300,-0.1979071846437580,-0.21027213362640800,-0.19501155096942800,-0.11517772019195200,0
Tunisia,1999,0.4611356503640330,-0.44909871289608800,0.39310811228372400,-0.08563707428070370,-0.08314709663301630,-0.061595968600222500,-0.47466754206672100,-0.45882234175597700,-0.2723250359817740,-0.23348182579853000,-0.4727519090632580,0.22823339750016600,-0.20935093305190100,-0.1944266270124960,-0.11462638620732300,0
Tunisia,2000,0.6304823912013160,-0.7871076561054910,-0.29031092934915,-0.08563707427939010,-0.08314709663378860,-0.06159596860104010,-0.4645341913221400,-0.29546185368002500,0.12277542848320200,-0.257377361437491,-0.3679743482688260,-0.3250719092138080,-0.20913562628392,-0.19584081150037900,-0.11994390170762000,0
Tunisia,2001,0.3899368492403670,-0.8568148228374970,-0.2245273423510340,-0.08563707427818890,-0.08314709663508140,-0.06159596860242890,-0.4370877717401400,-0.19207496263092000,0.2609090834663220,-0.36976472495909800,-0.24125838259803200,-0.5101055617172120,-0.20905075281249800,-0.19589441872144900,-0.1203895994209290,0
Tunisia,2002,0.09420076793193480,-0.46096007738559900,-0.6519438151288850,-0.08563707427702590,-0.0831470966355058,-0.06159596860286950,-0.40824678825350000,-0.1613160669156350,0.3065415691157250,-0.40165155448387600,-0.2596048075491660,-0.4054680925908940,-0.2086683133698720,-0.19443901040097400,-0.1173264465697560,0
Tunisia,2003,0.08835819842640860,-0.46404011116169600,-0.42500617665811300,-0.08563707427586300,-0.0831470966352395,-0.061595968602594800,-0.38463739032042500,-0.2451898326650960,0.16314122734136400,-0.40929029128649500,-0.27048100214674400,-0.15334239670072300,-0.2073415991360210,-0.18843687840794700,-0.11129604549222400,0
Tunisia,2004,0.1013667976245760,-0.44200316214670100,0.3133319495754430,-0.08563707427457830,-0.083147096633446,-0.06159596860078090,-0.3608966332722570,-0.5468905250059900,-0.12641353001745000,-0.44219561905162200,-0.38920171917350400,0.4089411639944480,-0.20532672279898900,-0.1762338152979370,-0.09541571583653750,0
Tunisia,2005,0.013514035534525600,-0.4469245487899600,0.3380188600767030,-0.08563707427333930,-0.08314709663267300,-0.061595968599892500,-0.35526048207162300,-0.5909753055155100,-0.1813131803641630,-0.3248332833560020,-0.22945702463048200,0.6302143143855950,-0.2021660031555750,-0.1710182426863160,-0.08905380424906170,0
