Country,Year,gdp_growth,inflation,domestic_credit,current_account,total_reserves,External_Debt_Crisis,gdp_growth_mean5,gdp_growth_std5,gdp_growth_trend5,inflation_mean5,inflation_std5,inflation_trend5,domestic_credit_mean5,domestic_credit_std5,domestic_credit_trend5,current_account_mean5,current_account_std5,current_account_trend5,total_reserves_mean5,total_reserves_std5,total_reserves_trend5,target_crisis_next_3y
Netherlands,2010,1.319320323,92.044,264.0,6.934,46146883951.0,0,1.4387054626000002,3.0378912067489394,-1.1986706487000003,89.7812,2.0769687527742353,1.2955999999999999,242.82,14.205527093353348,8.210000000000003,6.6572000000000005,1.6144967327312871,-0.5773000000000003,32972862544.8,9371569560.56885,5684562096.200001,0
Netherlands,2011,1.773345163,94.319,275.5,8.535,50411044069.0,0,1.0858994758,2.8284421997493454,-0.5021418183,91.2484,2.193941840614861,1.3637000000000083,251.42,18.700721911198958,11.650000000000025,6.547200000000001,1.4140207565661829,0.5266000000000003,38274612465.8,10399248441.026007,6451027976.800001,0
Netherlands,2012,-0.977876878,96.977,280.5,10.194,54816126189.0,0,0.11326281059999999,2.4337586229604207,-0.07507499740000032,92.9712,2.688152190632158,1.6438000000000093,261.14,18.648672875033164,11.610000000000035,7.208799999999999,2.1790829952069295,1.3576000000000004,43852232899.0,10270161038.574419,6355354188.600005,0
Netherlands,2013,-0.03023256,99.455,280.3,9.751,46309213046.0,0,-0.3161468886,2.166629091791276,0.49729186610000015,94.7984,3.435725803960561,2.144900000000005,270.26000000000005,12.681206567200052,7.5100000000000176,8.1658,1.990414203124567,1.1932000000000003,47393546653.2,5759494633.77863,2271873630.7999997,0
Netherlands,2014,1.612610013,99.773,287.1,8.172,43054391591.0,0,0.7394332122,1.194698712597999,-0.12169983429999985,96.5136,3.327305786969457,2.0594000000000143,277.48,8.591391039872295,5.100000000000042,8.7172,1.299992576901886,0.36920000000000086,48147531769.2,4552903572.5146,-1028681574.2999958,0
Netherlands,2015,2.120605239,99.992,284.7,5.204,38213751383.0,0,0.8996901954000001,1.3371775927821155,0.32850070429999995,98.1032,2.4378093034526795,1.414200000000009,281.62,4.471241438347716,2.5000000000000115,8.3712,1.9573013820053378,-0.8683999999999992,46560905255.6,6422737079.371921,-3615631997.0000014,0
Netherlands,2016,2.42428573,100.106,284.5,7.114,35905772878.0,0,1.0298783088,1.468719635933892,0.8955163014999998,99.2606,1.3004634942974909,0.6795000000000053,283.42,2.9414282245191368,1.2400000000000064,8.087,2.029408041769817,-1.0706999999999995,43659851017.4,7443687006.447066,-4591616828.499994,0
New Zealand,1964,6.103284622,56.9261789981568,81.2390692801396,-4.926511838600966,257817310.1,0,4.278251914835339,1.6758895357755013,0.9414367977646617,56.77721788821318,0.2279951243587854,0.00472285077923998,82.30241744444878,1.1905492694477031,-0.6414905243709382,-4.924642684838425,0.006848224142084371,-0.0025358297950593316,237965646.82,41604318.682329796,-2755632.8300000117,0
New Zealand,1965,6.111731864,56.45733306381523,80.6288794661876,-4.936752820626328,173296693.8,0,4.9427313906000006,1.5946419415947615,0.8614575587000006,56.66448512059769,0.21638034558609642,0.01387959000349362,81.70002582460367,1.1027933711842932,-0.5746720837338697,-4.928961877826409,0.006143899196840862,-0.0021121082070331633,215104999.82000002,38823778.03235792,-799138.8399999845,0
New Zealand,1966,6.248462262,56.49295124074781,80.58074244450694,-4.936359854512014,179191433.6,0,5.529293912,1.370108742419804,0.6344792123000003,56.67517238121876,0.2034226000493496,-0.08791824085306169,81.31032844254767,1.0805680705881069,-0.5497677006982274,-4.930373051693512,0.006993674866434111,-0.0036943357491813597,214783731.01999998,39183624.24789145,-18274018.749999948,0
New Zealand,1967,-4.58942404,56.48097610658041,88.02027629892174,-4.906243320720527,218554188.8,0,3.9952344134,4.799369473849498,-2.123790515799999,56.60676373244136,0.19873208565363945,-0.08240340500612083,82.2773656342761,3.2211555702821695,1.3546504398961663,-4.92756403035156,0.01261682624860636,0.004156997724381952,208333262.6,34095297.19510058,-6713087.229999973,0
New Zealand,1968,-0.048848529,56.26206048338839,84.61478724429064,-4.9237408050708,161709283.2,0,2.7650412358,4.9113278299650345,-2.3005422205999997,56.52389997853773,0.24373129063376867,-0.13045939867716153,83.01675094680931,3.2551960653918077,1.414283276103626,-4.925921727906127,0.012435950114106609,0.003605156696612954,198113781.9,39628121.85277565,-14695855.879999982,0
New Zealand,1969,10.1946719,56.74697392171831,78.19374978393485,-4.941884903256291,209849305.6,0,3.5833186913999997,5.856454070996225,0.1868569280999998,56.488058963250026,0.1725763966712979,0.03483909584467568,82.40768704756836,3.8933147714656684,-0.0836214564721752,-4.928996340837192,0.014368541455300294,0.00023548841812858742,188520181.0,24467210.262698557,5562307.32000002,0
New Zealand,1970,-1.3976076,56.76619078742231,86.19241103442961,-4.908974131132194,257723141.9,0,2.0814507985999997,6.006890519532924,-0.050804378400000474,56.54983050797144,0.21003872427910278,0.08124769084869572,83.52039336121675,4.049722280040672,0.13968106648584847,-4.923440602938365,0.015907661039261105,0.0019129864223873857,205405470.62,37169569.94369981,14835853.34000001,0
New Zealand,1971,3.785457945,58.18172624183548,84.45191342751973,-4.8926537439950355,492952622.9,0,1.5888499351999998,5.67136034431734,1.5401004899000001,56.88758550818898,0.7526488718338673,0.39056305745440933,84.29462755781933,3.7023638174718667,-0.5559101952664969,-4.9146993808349695,0.018782262390543345,0.004194582738958677,268157708.48000002,130224114.495415,64481072.69000001,0
New Zealand,1972,5.119108766,60.10066202633232,86.0082047533526,-4.854573505450543,833644611.6,0,3.5305564964,4.58524396491488,0.3926700635000008,57.61152269213936,1.565569031656606,0.9111955406005124,83.89221324870547,3.2816228161450547,0.9044998661708812,-4.904365417780973,0.033244381097060884,0.018756575850176732,391175793.04,278155065.91468334,162697397.41,0
New Zealand,1973,7.800277728,61.345165118226305,85.76819270724205,-4.834967770266441,1047638200.0,0,5.1003817478,4.393019216074663,0.17279280219999987,58.62814361910695,2.046672454181179,1.2530853631926036,84.12289434129576,3.384054895651709,1.496467956553745,-4.886610810820101,0.042676846780050424,0.026823489166134584,568361576.4,364278384.70910156,225149925.85000002,0
