Country,Year,target_crisis_next_3y,KMeans_Cluster,GMM_Cluster,GMM_Max_Probability
Austria,1976,0,0,6,0.9988212531357253
Austria,1977,0,0,6,0.9990664279432555
Austria,1978,0,0,6,0.9998539525899739
Austria,1979,0,0,6,0.9998906109304719
Austria,1980,0,0,7,0.9918716740494489
Austria,1981,0,0,7,0.8981057495264166
Austria,1982,0,0,7,0.9127094953497761
Austria,1983,0,0,7,0.9953103985316047
Austria,1984,0,0,6,0.7236423055270712
Austria,1985,0,0,6,0.9993480006617855
Austria,1986,0,0,6,0.9999422148563855
Austria,1987,0,0,6,0.9999581175916837
Austria,1988,0,0,6,0.9999732078917793
Austria,1989,0,0,6,0.9999812612870581
Austria,1990,0,0,6,0.9999808988582162
Austria,1991,0,0,6,0.9999765515370597
Austria,1992,0,0,6,0.9999757963345346
Austria,1993,0,0,6,0.9999672109598384
Austria,1994,0,0,6,0.999956231259244
Austria,1995,0,0,6,0.9999460484504225
Austria,1996,0,0,6,0.9999367088649666
Austria,1997,0,0,6,0.999950043429381
Austria,1998,0,0,6,0.9999583108261296
Austria,1999,0,0,6,0.998377121051176
Austria,2000,0,0,7,0.7585201713470987
Austria,2001,0,0,7,0.5506099770267999
Austria,2002,0,0,7,0.9994160405069047
Austria,2003,0,0,6,0.9236489145130934
Austria,2004,0,0,6,0.9964927703539709
Austria,2005,0,0,6,0.999851979569948
Austria,2006,0,0,6,0.9999677960585491
Austria,2007,0,0,6,0.9999527853673197
Austria,2008,0,0,6,0.9999324071373249
Austria,2009,0,0,6,0.9999198372116306
Austria,2010,0,0,6,0.9999302619408009
Austria,2011,0,0,6,0.9999240956562218
Austria,2012,0,0,6,0.9998317216901021
Austria,2013,0,0,6,0.9999265157826821
Austria,2014,0,0,6,0.9995917196086058
Austria,2015,0,0,6,0.999650129954025
Austria,2016,0,0,6,0.9997151846912988
Belgium,1964,0,0,4,0.9999624748345958
Belgium,1965,0,0,4,0.9998803249211244
Belgium,1966,0,0,4,0.9990978359782491
Belgium,1967,0,0,4,0.9980555164999221
Belgium,1968,0,0,4,0.9910720355779704
Belgium,1969,0,0,4,0.6366926950664689
Belgium,1970,0,0,3,0.9758010981742012
Belgium,1971,0,0,4,0.9999555644566089
Belgium,1972,0,0,4,0.987824327677664
Belgium,1973,0,0,6,0.9999464277431335
Belgium,1974,0,0,6,0.9999417470063631
Belgium,1975,0,0,6,0.9998287301773781
Belgium,1976,0,0,7,0.6397287938842343
Belgium,1977,0,0,6,0.7502871033604056
Belgium,1978,0,0,7,0.9957653391988206
Belgium,1979,0,0,7,0.9982296817348553
Belgium,1980,0,0,0,1.0
Belgium,1981,0,0,0,1.0
Belgium,1982,0,0,0,1.0
Belgium,1983,0,0,0,1.0
Belgium,1984,0,0,7,0.9477867984568863
Belgium,1985,0,0,6,0.9993703653775715
Belgium,1986,0,0,6,0.9996312695105567
Belgium,1987,0,0,6,0.9998999651556693
Belgium,1988,0,0,6,0.9999312433824382
Belgium,1989,0,0,6,0.9999632298627816
Belgium,1990,0,0,6,0.9999637794901358
Belgium,1991,0,0,6,0.9999187987215402
Belgium,1992,0,0,6,0.9999130471135917
Belgium,1993,0,0,6,0.9997818294997658
Belgium,1994,0,0,6,0.9996350628120256
Belgium,1995,0,0,6,0.9997801582387572
Belgium,1996,0,0,6,0.999937626407146
Belgium,1997,0,0,6,0.9998951217797866
Belgium,1998,0,0,6,0.9997924447640545
Belgium,1999,0,0,7,0.9813865545856344
Belgium,2000,0,0,7,0.9997844044537911
Belgium,2001,0,0,7,0.9822658455093553
Belgium,2002,0,0,6,0.972998918090829
Belgium,2003,0,0,6,0.9996091518112706
Belgium,2004,0,0,6,0.9999630713551537
Belgium,2005,0,0,6,0.9999587401084152
Belgium,2006,0,0,6,0.9999389610700369
Belgium,2007,0,0,6,0.999967399291197
Belgium,2008,0,0,6,0.9999689582634516
Belgium,2009,0,0,6,0.9999958741651093
Belgium,2010,0,0,6,0.9999796124202256
Belgium,2011,0,0,6,0.999538009411706
Belgium,2012,0,0,6,0.9994610645288668
Belgium,2013,0,0,6,0.999779141221785
Belgium,2014,0,0,6,0.9999251382467482
Belgium,2015,0,0,6,0.9963795614218761
Belgium,2016,0,0,6,0.9940231212917515
Bolivia,1964,0,0,4,0.9999265552388433
Bolivia,1965,0,0,4,0.9999274417590422
Bolivia,1966,0,0,4,0.9999310552984055
Bolivia,1967,0,0,4,0.9999343152798056
Bolivia,1968,0,0,4,0.9999578831611058
Bolivia,1969,0,0,4,0.9999311376504176
Bolivia,1970,0,0,4,0.9998521694178367
Bolivia,1971,0,0,4,0.9998550567290946
Bolivia,1972,0,0,4,0.9999264355355376
Bolivia,1973,0,0,4,0.9999412269604603
Bolivia,1974,0,0,4,0.9998974331711714
Bolivia,1975,0,0,4,0.9999329679778941
Bolivia,1976,0,0,4,0.9998540658472966
Bolivia,1977,1,0,4,0.9999367551971273
Bolivia,1978,1,0,4,0.9998879095057597
Bolivia,1979,1,0,4,0.860811310003181
Bolivia,1980,1,0,4,0.7385459907676676
Bolivia,1981,1,0,3,0.8618833470437567
Bolivia,1982,1,0,3,0.6597993113266033
Bolivia,1983,1,0,3,0.9999783613933437
Bolivia,1984,1,0,3,0.99997226302791
Bolivia,1985,1,0,3,0.9999722517771829
Bolivia,1986,1,0,4,0.9992932253963553
Bolivia,1987,1,0,4,0.9991315367108408
Bolivia,1988,1,0,4,0.9999707240510631
Bolivia,1989,1,0,3,0.9983321618807757
Bolivia,1990,1,0,3,0.9999585802548028
Bolivia,1991,1,0,3,0.9997462452763155
Bolivia,1992,1,0,4,0.9952679813573863
Bolivia,1993,1,0,4,0.8045751381841747
Bolivia,1994,1,0,6,0.9953924913215776
Bolivia,1995,1,0,4,0.6964907141280102
Bolivia,1996,1,0,4,0.9966310090285894
Bolivia,1997,0,0,4,0.9996583608372709
Bolivia,1998,0,0,4,0.996324354426375
Bolivia,1999,0,0,4,0.9859907016559779
Bolivia,2000,0,0,4,0.9998103361870537
Bolivia,2001,0,0,4,0.8919271883566146
Bolivia,2002,0,0,3,0.9997952576388418
Bolivia,2003,0,0,3,0.9998893646475489
Bolivia,2004,0,0,3,0.9999292857656897
Bolivia,2005,0,0,3,0.9999389455986202
Bolivia,2006,0,0,3,0.9999607711033497
Bolivia,2007,0,0,3,0.9997502321320048
Bolivia,2008,0,0,3,0.9934313560964956
Bolivia,2009,0,0,3,0.9754997088479589
Bolivia,2010,0,0,3,0.9957047767234993
Bolivia,2011,0,0,3,0.9955890391712587
Bolivia,2012,0,0,3,0.7269631442396411
Bolivia,2013,0,0,6,0.9926702257109816
Bolivia,2014,0,0,6,0.9969899654644575
Bolivia,2015,0,0,7,0.8143935914103767
Bolivia,2016,0,0,7,0.9967185955085034
Brazil,1964,0,0,2,1.0
Brazil,1965,0,0,2,1.0
Brazil,1966,0,0,2,1.0
Brazil,1967,0,0,2,1.0
Brazil,1968,0,0,2,1.0
Brazil,1969,0,0,2,1.0
Brazil,1970,0,0,2,1.0
Brazil,1971,0,0,2,1.0
Brazil,1972,0,0,2,1.0
Brazil,1973,0,0,2,1.0
Brazil,1974,0,0,2,1.0
Brazil,1975,0,0,2,1.0
Brazil,1976,0,0,2,1.0
Brazil,1977,0,0,2,1.0
Brazil,1978,0,0,2,1.0
Brazil,1979,0,0,2,1.0
Brazil,1980,1,0,2,1.0
Brazil,1981,1,0,1,1.0
Brazil,1982,1,0,1,1.0
Brazil,1983,1,0,1,1.0
Brazil,1984,1,0,7,0.9827558684954774
Brazil,1985,1,0,7,0.9991616553913758
Brazil,1986,1,0,7,0.9995064284657669
Brazil,1987,1,0,6,0.8441922416738343
Brazil,1988,1,0,6,0.9996948133872348
Brazil,1989,1,0,6,0.9999180870503832
Brazil,1990,1,0,3,0.9997831448864106
Brazil,1991,1,0,3,0.9713903599475259
Brazil,1992,1,0,0,1.0
Brazil,1993,1,0,0,1.0
Brazil,1994,0,2,5,1.0
Brazil,1995,0,2,5,1.0
Brazil,1996,0,2,5,1.0
Brazil,1997,0,2,5,1.0
Brazil,1998,0,2,5,1.0
Brazil,1999,0,2,5,1.0
Brazil,2000,0,0,5,1.0
Brazil,2001,0,2,5,1.0
Brazil,2002,0,2,5,1.0
Brazil,2003,0,2,5,1.0
Brazil,2004,0,2,5,1.0
Brazil,2005,0,2,5,1.0
Brazil,2006,0,2,5,1.0
Brazil,2007,0,2,5,1.0
Brazil,2008,0,2,5,1.0
Brazil,2009,0,2,5,1.0
Brazil,2010,0,2,5,1.0
Brazil,2011,0,2,5,1.0
Brazil,2012,0,2,5,1.0
Brazil,2013,0,2,5,1.0
Brazil,2014,0,2,5,1.0
Brazil,2015,0,2,5,1.0
Brazil,2016,0,2,5,1.0
Canada,1964,0,0,4,0.9998198366473029
Canada,1965,0,0,4,0.9995788200409249
Canada,1966,0,0,4,0.9989709478062134
Canada,1967,0,0,4,0.9930378208667013
Canada,1968,0,0,4,0.9938288424146393
Canada,1969,0,0,4,0.9944579218620058
Canada,1970,0,0,4,0.995364674219476
Canada,1971,0,0,6,0.9395002623796853
Canada,1972,0,0,6,0.9998277636572098
Canada,1973,0,0,6,0.9999446368827017
Canada,1974,0,0,6,0.9999634208418735
Canada,1975,0,0,6,0.9999795096002527
